project_id,verdict,reason,primary_repo,commit,delivered_date,n_delivery_files,own_org_repos,shared_repos,planned_pm
polkadot_tests,INCLUDED,single separable primary repo + dated delivery,https://github.com/Zondax/polkadot-testing,,2023-12-22,1,Zondax/polkadot-testing;Zondax/Polkadot-conformance-tests,,
Polkadot_Web_UI,INCLUDED,single separable primary repo + dated delivery,https://github.com/RidOne-technologies/polkadot-angular-identicon,,2021-08-03,1,RidOne-technologies/polkadot-angular-identicon;RidOne-technologies/polkadot-web-identicon,w3f/General-Grants-Program,
PolkaFlow,INCLUDED,single separable primary repo + dated delivery,https://github.com/justmert/eco-flow-frontend,,2023-05-08,1,justmert/eco-flow-frontend;justmert/eco-flow-backend,,2.00
polkaj_android_support,INCLUDED,single separable primary repo + dated delivery,https://github.com/emeraldpay/polkaj,,2021-12-02,2,emeraldpay/polkaj,,60.00
polkakey,INCLUDED,single separable primary repo + dated delivery,https://github.com/w3finance/PolkaKey,7d2bf55bd67b6729d9ed88ef8c962836f9729903,2020-04-26,2,w3finance/PolkaKey,w3f/Open-Grants-Program,
polkamask,INCLUDED,single separable primary repo + dated delivery,https://github.com/PolkaGate/polkaMask,,2024-01-27,1,PolkaGate/polkaMask;PolkaGate/polkadot-js-extension;PolkaGate/polkadot-cloud-library,,6.00
polkamusic,INCLUDED,single separable primary repo + dated delivery,https://github.com/polkamusic/PolkaMusic-Core,,2021-10-12,1,polkamusic/PolkaMusic-Core;polkamusic/Rights-Management-Portal,w3f/General-Grants-Program;w3f/Open-Grants-Program,
polkashots,INCLUDED,single separable primary repo + dated delivery,https://github.com/midl-dev/polkadot-snapshot-generator,,2020-12-25,1,midl-dev/polkadot-snapshot-generator,w3f/General-Grants-Program;w3f/Open-Grants-Program,
polkastats,INCLUDED,single separable primary repo + dated delivery,https://github.com/Colm3na/polkastats-backend-v3,,2020-06-12,3,Colm3na/polkastats-backend-v3;Colm3na/polkastats-v3;Colm3na/ledger-polkadot-js;Colm3na/polkapulse,w3f/Open-Grants-Program,
polk-auction,INCLUDED,single separable primary repo + dated delivery,https://github.com/CrommVardek/polk-auction-core,,2022-05-31,3,CrommVardek/polk-auction-core;CrommVardek/polk-auction-ui,,
Polkawatch,EXCLUDED,no project repo referenced,,,2022-04-21,2,,,
polket_toearnfun,INCLUDED,single separable primary repo + dated delivery,https://github.com/polketio/polket-node,,2023-03-02,2,polketio/polket-node;polketio/toearnfun_flutter_app;polkawallet-io/sdk,,16.00
pontem-network,INCLUDED,single separable primary repo + dated delivery,https://github.com/pontem-network/sp-move,49d6f1d8598aca86bf7e59f309a078cd573fcc0e,2021-05-12,3,dfinance/sp-move;dfinance/sp-move-vm;dfinance/petgraph;RIg410/indexmap;dfinance/move-tools;pontem-network/sp-move,w3f/General-Grants-Program;w3f/Open-Grants-Program,4.00
preparing-polkadot-pallet-balances-for-formal-verification,INCLUDED,single separable primary repo + dated delivery,https://github.com/.../preparing-polkadot-pallet-balances-for-formal-verification.md,,2025-10-21,1,.../LICENSE;Inferara/pallet-balances-formal-verification;.../preparing-polkadot-pallet-balances-for-formal-verification.md,,
PRIMIS,INCLUDED,single separable primary repo + dated delivery,https://github.com/Primis-Labs/client,,2022-11-01,1,Primis-Labs/client,,
PrivaDEX_aggregator,INCLUDED,single separable primary repo + dated delivery,https://github.com/kapilsinha/privadex,,2023-02-28,4,kapilsinha/privadex;kapilsinha/privadex-swap-ui,,11.00
Profond,INCLUDED,single separable primary repo + dated delivery,https://github.com/profondHQ/profond-psp22-contract,,2023-12-20,2,profondHQ/profond-psp22-contract;profondHQ/profond-backend-api;profondHQ/paras-ink-nft-launchpad-contract;profondHQ/launchpad;profondHQ/profond-indexer;profondHQ/profond-analytics,,
project_aurras_mvp_phase,INCLUDED,single separable primary repo + dated delivery,https://github.com/HugoByte/aurras,,2023-11-07,5,HugoByte/aurras-event-feed-substrate-js;HugoByte/aurras-event-manager;HugoByte/aurras-documentation;HugoByte/aurras-deployment-docker-compose;HugoByte/aurras-deployment-kubernetes;HugoByte/aurras,w3f/General-Grants-Program;w3f/Open-Grants-Program,
prosopo,INCLUDED,single separable primary repo + dated delivery,https://github.com/prosopo-io/provider,,2022-07-25,2,prosopo-io/provider;prosopo-io/protocol;prosopo-io/dapp-example;prosopo-io/integration;prosopo-io/prosopo-website;Supercolony-net/openbrush-contracts,paritytech/substrate-contracts-node;paritytech/ink,
psc,INCLUDED,single separable primary repo + dated delivery,https://github.com/OmniBTC/PSC,,2023-02-13,1,OmniBTC/PSC,paritytech/zombienet,
qrucial_dao,INCLUDED,single separable primary repo + dated delivery,https://github.com/Qrucial/QRUCIAL-DAO,,2023-07-05,2,Qrucial/QRUCIAL-DAO,,
QSTN,INCLUDED,single separable primary repo + dated delivery,https://github.com/QSTN-US/Polkadot-QSTN-v1,,2024-01-23,1,QSTN-US/Polkadot-QSTN-v1;QSTN-US/qstn-polkadot-marketplace-v021,,120.00
quadratic-funding,INCLUDED,single separable primary repo + dated delivery,https://github.com/OAK-Foundation/quadratic-funding-pallet,,2021-10-06,2,OAK-Foundation/quadratic-funding-pallet;OAK-Foundation/quadratic-funding-test;OAK-Foundation/quadratic-funding-webapp,w3f/General-Grants-Program;w3f/Open-Grants-Program,12.00
quadratic-funding-pallet,INCLUDED,single separable primary repo + dated delivery,https://github.com/zhangjiannan/QFgrant,,2021-04-28,3,zhangjiannan/QFgrant,w3f/General-Grants-Program;w3f/Open-Grants-Program,2.00
queryWeb3,INCLUDED,single separable primary repo + dated delivery,https://github.com/Query-Web3/database,,2025-12-20,1,Query-Web3/database;Query-Web3/backend,,270.00
RainbowDAO-Protocol-ink!-Phase1,INCLUDED,single separable primary repo + dated delivery,https://github.com/RainbowcityFoundation/RainbowDAO-Protocol-Ink-milestone_1,,2022-04-08,2,RainbowcityFoundation/RainbowDAO-Protocol-Ink-milestone_1;RainbowcityFoundation/RainbowDAO-Protocol-Ink-UI-milestone_1;RainbowcityFoundation/RainbowDAO-Protocol-Ink-docs;RainbowcityFoundation/RainbowDAO-Protocol-Ink-milestone_2;RainbowcityFoundation/RainbowDAO-Protocol-Ink-UI-milestone_2,,
rb_substrate_client,INCLUDED,single separable primary repo + dated delivery,https://github.com/uni-arts-chain/sr25519,,2021-10-26,1,uni-arts-chain/sr25519,,
RedStone,INCLUDED,single separable primary repo + dated delivery,https://github.com/redstone-network/redstone-node,,2022-12-04,1,redstone-network/redstone-node,,6.00
regionx,INCLUDED,single separable primary repo + dated delivery,https://github.com/RegionX-Labs/RegionX,,2024-03-07,2,RegionX-Labs/CoreHub;RegionX-Labs/RegionX;RegionX-Labs/Coretime-Mock;RegionX-Labs/Docs,,
relaycode,INCLUDED,single separable primary repo + dated delivery,https://github.com/itsyogesh/relaycode,,2026-02-08,2,itsyogesh/relaycode,,4.00
research-feasibility-go-runtime,INCLUDED,single separable primary repo + dated delivery,https://github.com/limechain/gosemble,,2022-09-26,1,limechain/gosemble;LimeChain/gosemble;LimeChain/tinygo,,
research-feasibiliy-java-host,INCLUDED,single separable primary repo + dated delivery,https://github.com/LimeChain/java-host-research,,2023-02-08,1,LimeChain/java-host-research;LimeChain/wasmer-java,,
roloi,INCLUDED,single separable primary repo + dated delivery,https://github.com/RoloiMoney/roloi-polkadot-w3f-grant,,2022-07-18,1,RoloiMoney/roloi-polkadot-w3f-grant,,2.00
roloi-xcm-payment-automation,INCLUDED,single separable primary repo + dated delivery,https://github.com/NeoPower-Digital/tempora,,2024-04-22,2,NeoPower-Digital/tempora,,7.50
Rubeus_keeper,INCLUDED,single separable primary repo + dated delivery,https://github.com/bsn-si/rubeus-smartcontract,,2022-12-05,2,bsn-si/rubeus-smartcontract;bsn-si/rubeus-client,,4.00
Rubeus_keeper_st2,INCLUDED,single separable primary repo + dated delivery,https://github.com/bsn-si/rubeus-smartcontract,,2023-03-09,2,bsn-si/rubeus-smartcontract;bsn-si/rubeus-client,,4.00
ruby,INCLUDED,single separable primary repo + dated delivery,https://github.com/rubyprotocol/documents,,2021-12-31,2,rubyprotocol/documents;Ruby-Protocol/private_ml;fentec-project/CiFEr;lornacrevelingwgo23/zeropool_substrate_fork;rubyprotocol/Ruby_milestone2;lornacrevelingwgo23/Ruby_dockerfile,w3f/General-Grants-Program,6.00
rv_kmir,INCLUDED,single separable primary repo + dated delivery,https://github.com/runtimeverification/mir-semantics,,2023-12-20,4,runtimeverification/mir-semantics;runtimeverification/mir-semantics-compiletest;runtimeverification/kup,,
SaaS3,INCLUDED,single separable primary repo + dated delivery,https://github.com/SaaS3-Foundation/dRuntime-fat,,2023-05-24,2,SaaS3-Foundation/dRuntime-fat;SaaS3-Foundation/saas3-dao;SaaS3-Foundation/SaaS3-DAO-Pallets,,6.00
saito-gamebridge,INCLUDED,single separable primary repo + dated delivery,https://github.com/SaitoTech/saito-crypto-api-modules,f8eb04e3059776d8b1cb300d682c681c00615643,2021-11-10,2,SaitoTech/saito-crypto-api-modules;SaitoTech/Saito-Game-Engine,w3f/General-Grants-Program;w3f/Open-Grants-Program,
sandox_ms3_delivery,INCLUDED,single separable primary repo + dated delivery,https://github.com/sandoxio/sandox,,2023-10-20,1,sandoxio/sandox,,16.00
Sandox_st1_ms1_delivery,INCLUDED,single separable primary repo + dated delivery,https://github.com/sandoxio/sandox,,2023-07-12,1,sandoxio/sandox,,16.00
Sandox_st1_ms2_delivery,INCLUDED,single separable primary repo + dated delivery,https://github.com/sandoxio/sandox,,2023-08-29,1,sandoxio/sandox,,16.00
sarp-basic-functionality,INCLUDED,single separable primary repo + dated delivery,https://github.com/scs/MIRAI,,2023-07-06,1,scs/MIRAI,,
scale-codec-comparator,INCLUDED,single separable primary repo + dated delivery,https://github.com/gmajor-encrypt/scale-codec-comparator,,2023-01-22,3,gmajor-encrypt/scale-codec-comparator,,
ScoutCoinFabrik,INCLUDED,single separable primary repo + dated delivery,https://github.com/CoinFabrik/scout,,2023-07-04,2,CoinFabrik/web3-grant;CoinFabrik/scout;crytic/slither;blocksecteam/rustle,,
Security_Marketplace,INCLUDED,single separable primary repo + dated delivery,https://github.com/ParthChaudhary31/Security_Marketplace_Backend,,2023-11-30,1,ParthChaudhary31/Security_Marketplace_Backend;ParthChaudhary31/Security_Marketplace_Frontend;ParthChaudhary31/Security_Marketplace_Cron,,
sensio_network,EXCLUDED,un-separable: only shared/3rd-party monorepos,,,2020-04-29,1,,w3f/Open-Grants-Program,
SEOR-code-less-smart-contract-platform,INCLUDED,single separable primary repo + dated delivery,https://github.com/SealSC/smart-contracts,,2021-11-11,2,SealSC/smart-contracts;SealSC/multi-chain-js,w3f/General-Grants-Program;w3f/Open-Grants-Program,
sequester,INCLUDED,single separable primary repo + dated delivery,https://github.com/SequesterChain/pallets,,2022-06-21,1,SequesterChain/pallets;SequesterChain/sequester-example-node,,
shadows-network,INCLUDED,single separable primary repo + dated delivery,https://github.com/ShadowsNetwork/shadows,,2021-02-04,1,ShadowsNetwork/shadows,w3f/General-Grants-Program;w3f/Open-Grants-Program,15.00
Shivarthu,INCLUDED,single separable primary repo + dated delivery,https://github.com/amiyatulu/shivarthu,a38ff3aa038474613427a3ee4af3ed8108f70941,2024-08-28,2,amiyatulu/shivarthu;amiyatulu/shivarthu_frontend;reaudito/shivarthu;reaudito/shivarthu-client-tests;reaudito/shivarthu-client;reaudito/shivarthu_offchain_computing,,16.00
signac,INCLUDED,single separable primary repo + dated delivery,https://github.com/digitalnativeinc/signac,,2022-11-02,2,digitalnativeinc/signac;standardweb3/signac,,
signet,INCLUDED,single separable primary repo + dated delivery,https://github.com/TalismanSociety/siws,86c6e921df2af1cfe8000fb76f3f3917f1ad0d19,2023-11-14,1,TalismanSociety/siws;TalismanSociety/talisman-web,,1.00
silent_data,INCLUDED,single separable primary repo + dated delivery,https://github.com/appliedblockchain/silentdata-node-public,,2023-07-12,1,appliedblockchain/silentdata-node-public;appliedblockchain/silentdata-polkadot-public;appliedblockchain/silentdata-node;appliedblockchain/silentdata-polkadot,,
sirato-substrate-explorer-phase3,INCLUDED,single separable primary repo + dated delivery,https://github.com/web3labs/epirus-substrate,,2023-06-23,1,web3labs/epirus-substrate,,6.00
skyekiwi-protocol,INCLUDED,single separable primary repo + dated delivery,https://github.com/skyekiwi/skyekiwi-protocol,18171d1174b12f78d85bbd92183d53d3924468f2,2022-02-07,2,skyekiwi/skyekiwi-protocol;skyekiwi/contract-demo;skyekiwi/skyekiwi-network,polkadot-js/common,8.00
skyepass,INCLUDED,single separable primary repo + dated delivery,https://github.com/skyekiwi/skyepass-vault,,2021-04-20,1,skyekiwi/skyepass-vault;bitchan/eccrypto;grempe/secrets.js;skyekiwi/skyepass-ux,w3f/General-Grants-Program;w3f/Open-Grants-Program,
skynet-substrate-integration,INCLUDED,single separable primary repo + dated delivery,https://github.com/SkynetLabs/skynet-substrate,,2022-03-01,1,SkynetLabs/skynet-substrate;SkynetLabs/skynet-substrate-offchain-worker-node;SkynetLabs/skynet-substrate-front-end-example,,1.50
slonigiraf,INCLUDED,single separable primary repo + dated delivery,https://github.com/slonigiraf/recommendation-letter,,2022-03-25,1,slonigiraf/recommendation-letter;slonigiraf/recommendation-letter-example-ui;slonigiraf/recommendation-letter-example-node,,1.00
slothunter,INCLUDED,single separable primary repo + dated delivery,https://github.com/hack-ink/slothunter,,2023-09-06,2,hack-ink/slothunter;hack-ink/telegram-webhook,,
social_recivery_wallet,INCLUDED,single separable primary repo + dated delivery,https://github.com/hypha-dao/hashed-wallet,,2023-01-26,3,hypha-dao/hashed-wallet,,
societal,INCLUDED,single separable primary repo + dated delivery,https://github.com/sctllabs/societal-front-end,,2022-12-21,2,sctllabs/societal-grant-submission;sctllabs/societal-front-end;sctllabs/societal-grant-submission-2,,12.00
societal-grant,INCLUDED,single separable primary repo + dated delivery,https://github.com/sctllabs/societal-grant-2-submission,,2023-08-29,5,sctllabs/societal-grant-2-submission;sctllabs/societal-client;sctllabs/node-indexer;sctllabs/societal-node,,6.00
sol2ink,INCLUDED,single separable primary repo + dated delivery,https://github.com/727-Ventures/sol2ink,bc014edcbb738a66c0bbbe2e063d5c93d9df75b4,2023-02-13,1,727-Ventures/sol2ink;Uniswap/v2-core;Uniswap/v2-periphery,,
sol2ink-delivery,INCLUDED,single separable primary repo + dated delivery,https://github.com/Supercolony-net/sol2ink,,2023-01-18,1,Supercolony-net/sol2ink,,
Solang-developer-experience-improvements,INCLUDED,single separable primary repo + dated delivery,https://github.com/hyperledger/solang,,2023-07-09,2,hyperledger/solang,,
Solang_Playground,INCLUDED,single separable primary repo + dated delivery,https://github.com/hyperledger-labs/solang-playground,,2025-01-16,4,hyperledger-labs/solang-playground,,
solidity-trie-verifier,INCLUDED,single separable primary repo + dated delivery,https://github.com/polytope-labs/solidity-merkle-trees,,2023-02-28,1,polytope-labs/solidity-merkle-trees,,13.50
solidity-verifier-for-accountable-light-client,INCLUDED,single separable primary repo + dated delivery,https://github.com/ethereum/EIPs,,2023-09-28,2,ethereum/EIPs;celo-org/celo-blockchain;darwinia-network/apk-proofs;arkworks-rs/algebra;darwinia-network/apk-verifier,paritytech/frontier;w3f/apk-proofs,
spacewalk,INCLUDED,single separable primary repo + dated delivery,https://github.com/pendulum-chain/spacewalk,,2022-11-22,2,pendulum-chain/spacewalk;interlay/interbtc;pendulum-chain/stellar-experiments,,1.50
spartan_poc_consensus_module,INCLUDED,single separable primary repo + dated delivery,https://github.com/subspace/spartan-codec,,2021-07-29,3,subspace/spartan-codec;subspace/spartan-farmer,w3f/General-Grants-Program;w3f/Open-Grants-Program,
SpellRouter_Milestone,INCLUDED,single separable primary repo + dated delivery,https://github.com/paraspell/xcm-router,6a5fc8a53bce38cf23207f04620cc3f83c942eb1,2024-01-24,2,paraspell/xcm-router;paraspell/docs;paraspell/xcm-api,,
sr25519_donna,INCLUDED,single separable primary repo + dated delivery,https://github.com/TerenceGe/sr25519-donna,,2020-06-23,2,TerenceGe/sr25519-donna,w3f/Open-Grants-Program,
ssal,INCLUDED,single separable primary repo + dated delivery,https://github.com/MatteoPerona/ssal_commods,,2024-03-13,1,MatteoPerona/ssal_commods;MatteoPerona/ssal-demo-frontend,,5.00
stable-asset,INCLUDED,single separable primary repo + dated delivery,https://github.com/nutsfinance/stable-asset,,2022-03-25,3,nutsfinance/stable-asset,w3f/General-Grants-Program;w3f/Open-Grants-Program;AcalaNetwork/Acala,2.00
staking-rewards-viewer,INCLUDED,single separable primary repo + dated delivery,https://github.com/jackson-harris-iii/staking-rewards-viewer,,2021-08-13,1,jackson-harris-iii/staking-rewards-viewer,w3f/General-Grants-Program,4.00
Standard_Protocol,INCLUDED,single separable primary repo + dated delivery,https://github.com/digitalnativeinc/standard-substrate,,2023-01-18,1,digitalnativeinc/standard-substrate;digitalnativeinc/lumen,,2.00
Stardust,INCLUDED,single separable primary repo + dated delivery,https://github.com/adit313/State-of-the-Stablecoin-Industry,,2022-05-20,2,adit313/State-of-the-Stablecoin-Industry;adit313/TerraDeepDive,,
starks_network,INCLUDED,single separable primary repo + dated delivery,https://github.com/gbctech/starks-node,,2020-10-16,1,gbctech/starks-node,w3f/Open-Grants-Program,3.00
Starry_Network,INCLUDED,single separable primary repo + dated delivery,https://github.com/Starry-Network/starry_node,,2021-06-22,1,Starry-Network/starry_node;Starry-Network/app;Starry-Network/starry_query,w3f/General-Grants-Program;w3f/Open-Grants-Program;w3f/PSPs,2.50
stone-index-on-substrate,INCLUDED,single separable primary repo + dated delivery,https://github.com/stonedefi/stone-index-substrate-ui,,2021-10-13,1,stonedefi/stone-index-substrate-ui;stonedefi/stoneindex-node;stonedefi/stone-index-swaps-integration-demo;lsaether/pallet-swaps,w3f/General-Grants-Program;w3f/Open-Grants-Program,
storageHub,INCLUDED,single separable primary repo + dated delivery,https://github.com/Moonsong-Labs/storage-hub-runtime-poc,,2024-01-15,2,Moonsong-Labs/storage-hub-design-proposal;Moonsong-Labs/storage-hub-runtime-poc,,
Stylograph,INCLUDED,single separable primary repo + dated delivery,https://github.com/deep-ink-ventures/genesis-dao-node,,2023-09-25,1,deep-ink-ventures/genesis-dao-node;deep-ink-ventures/pallet_hookpoints;deep-ink-ventures/hookpoints-cli,,
subalfred,INCLUDED,single separable primary repo + dated delivery,https://github.com/hack-ink/subalfred,,2023-01-14,3,hack-ink/subalfred;hack-ink/subalfred-check-features-action;hack-ink/subalfred-check-runtime-action;hack-ink/subalfred-github-action-examples;marketplace/actions,paritytech/ss58-registry,
subauction,INCLUDED,single separable primary repo + dated delivery,https://github.com/galacticcouncil/Basilisk-node,,2022-03-04,2,galacticcouncil/Basilisk-node,,
subcoin,INCLUDED,single separable primary repo + dated delivery,https://github.com/subcoin-project/subcoin,,2024-09-13,3,subcoin-project/subcoin,,3.00
subdao-network,INCLUDED,single separable primary repo + dated delivery,https://github.com/SubDAO-Network/subdao-node,,2021-04-15,1,SubDAO-Network/subdao-node;SubDAO-Network/docs;SubDAO-Network/SubDAO-node;SubDAO-Network/SubDAO-contracts;SubDAO-Network/subdao-frontend;SubDAO-Network/subdao-preview,w3f/General-Grants-Program;w3f/Open-Grants-Program,8.00
subdao-network_chrome_extension,INCLUDED,single separable primary repo + dated delivery,https://github.com/SubDAO-Network/subdao-extension,,2021-09-30,1,SubDAO-Network/subdao-extension,w3f/General-Grants-Program;w3f/Open-Grants-Program,8.00
subdao-network_polkasign,INCLUDED,single separable primary repo + dated delivery,https://github.com/SubDAO-Network/polkasign-contract,,2021-12-16,1,SubDAO-Network/polkasign-contract;SubDAO-Network/polkasign-docs;SubDAO-Network/subdao-polkasign,w3f/General-Grants-Program,8.00
subdex,INCLUDED,single separable primary repo + dated delivery,https://github.com/subdarkdex/pallet-subdex,,2020-12-06,1,subdarkdex/pallet-subdex;subdarkdex/pallet-generic-token-dealer;subdarkdex/subdex-xc-network;subdarkdex/subdex-parachain;subdarkdex/generic-parachain,w3f/Open-Grants-Program;paritytech/cumulus,
SubGame_Network,INCLUDED,single separable primary repo + dated delivery,https://github.com/SubGame-Network/subgame-network,,2021-10-06,2,SubGame-Network/subgame-network;SubGame-Network/GameCenter;SubGame-Network/SubGameModule,w3f/General-Grants-Program;w3f/Open-Grants-Program,
SubIdentity,INCLUDED,single separable primary repo + dated delivery,https://github.com/TDSoftware/subidentity-webapp,,2022-08-30,3,TDSoftware/subidentity-webapp;TDSoftware/subidentity-package;TDSoftware/subidentity-backend,,9.00
subquery,INCLUDED,single separable primary repo + dated delivery,https://github.com/OnFinality-io/subql,,2021-01-27,1,OnFinality-io/subql;OnFinality-io/subql-examples,w3f/General-Grants-Program;w3f/Open-Grants-Program,3.00
SubRelay,INCLUDED,single separable primary repo + dated delivery,https://github.com/subrelay/subrelay-api,,2023-07-01,2,subrelay/subrelay-api;subrelay/interface,,7.50
subscript_lang,INCLUDED,single separable primary repo + dated delivery,https://github.com/ascontract/subscript,9d9961759610b7bf45fd810255ca36bca33dc475,2021-01-13,1,ascontract/subscript;ascontract/as-scale-codec,w3f/General-Grants-Program;w3f/Open-Grants-Program;paritytech/canvas-node,4.00
SubsCrypt,INCLUDED,single separable primary repo + dated delivery,https://github.com/oxydev/SubsCrypt-solidty,,2021-11-03,3,oxydev/SubsCrypt-solidty;oxydev/SubsCrypt-ink;oxydev/SubsCrypt-docs;oxydev/subsCrypt-front;oxydev/SubsCrypt-npm-library;oxydev/SubsCrypt-nodejs-backend,w3f/General-Grants-Program;w3f/Open-Grants-Program;w3f/PSPs,
subsmt,INCLUDED,single separable primary repo + dated delivery,https://github.com/farcloud-labs/subsmt,,2025-05-22,2,farcloud-labs/subsmt,,6.00
Substats,INCLUDED,single separable primary repo + dated delivery,https://github.com/CESSProject/substats,,2023-02-27,3,CESSProject/substats,,10.00
substrate_client_java,INCLUDED,single separable primary repo + dated delivery,https://github.com/strategyobject/substrate-client-java,,2022-08-24,2,strategyobject/substrate-client-java;orgs/strategyobject;strategyobject/substrate-client-examples,,
substrate_core_polywrapper,INCLUDED,single separable primary repo + dated delivery,https://github.com/polywrap/integrations,,2022-10-24,1,polywrap/integrations,,2.00
substrate_evm_adapter,INCLUDED,single separable primary repo + dated delivery,https://github.com/subclone/subeth,,2025-11-22,2,subclone/subeth,,
substrate-molochdao,INCLUDED,single separable primary repo + dated delivery,https://github.com/DoraFactory/Substrate-Moloch-V1,,2021-07-16,2,DoraFactory/Substrate-Moloch-V1;DoraFactory/Substrate-Moloch-V2,w3f/General-Grants-Program;w3f/Open-Grants-Program,
Substrate_Move_System_Pallet,INCLUDED,single separable primary repo + dated delivery,https://github.com/eigerco/substrate-move,,2024-02-08,2,eigerco/pallet-move;eigerco/substrate-node-template-move-vm-test;eigerco/substrate-move;eigerco/smove,,4.00
substrate_startkit_GUI,INCLUDED,single separable primary repo + dated delivery,https://github.com/MVPWorkshop/substrate-startkit-gui-api,,2020-12-04,2,MVPWorkshop/substrate-startkit-gui-api;MVPWorkshop/substrate-startkit-gui-app,w3f/Open-Grants-Program,5.00
substrate-tutorials,INCLUDED,single separable primary repo + dated delivery,https://github.com/rusty-crewmates/substrate-tutorials,,2023-05-30,2,rusty-crewmates/substrate-tutorials,,
subvt_telegram_bot-milestones-1-and,INCLUDED,single separable primary repo + dated delivery,https://github.com/helikon-labs/subvt,,2022-05-21,1,helikon-labs/polkadot-kusama-1kv-telegram-bot;helikon-labs/subvt-backend;helikon-labs/subvt,,0.99
subwallet,INCLUDED,single separable primary repo + dated delivery,https://github.com/yxf/subwallet,,2020-07-24,2,yxf/subwallet,w3f/Open-Grants-Program,
subxtpy,INCLUDED,single separable primary repo + dated delivery,https://github.com/philoniare/subxtpy,,2024-10-15,2,philoniare/subxtpy;philoniare/subxtpy-flask-example,,6.00
sunshine-keybase,INCLUDED,single separable primary repo + dated delivery,https://github.com/sunshine-protocol/sunshine-keybase,,2020-10-06,1,sunshine-protocol/sunshine-keybase;sunshine-protocol/sunshine-keybase-ui;sunshine-protocol/sunshine,w3f/Open-Grants-Program,
sup,EXCLUDED,un-separable: only shared/3rd-party monorepos,,,2020-11-10,2,,w3f/Open-Grants-Program,
supersig_fellowship,INCLUDED,single separable primary repo + dated delivery,https://github.com/decentration/pallet_supersig,,2023-07-12,2,decentration/pallet_supersig;decentration/apps;decentration/supersig-ui;decentration/substrate-supersig-template,,
SwarmNL,INCLUDED,single separable primary repo + dated delivery,https://github.com/algorealmInc/SwarmNL,,2025-01-23,2,algorealmInc/SwarmNL,,3.00
swift_api,INCLUDED,single separable primary repo + dated delivery,https://github.com/tesseract-one/Substrate.swift,,2023-09-16,2,tesseract-one/Substrate.swift;tesseract-one/Sr25519.swift;tesseract-one/JsonRPC.swift,w3f/General-Grants-Program,
swush-dex-aggregator,INCLUDED,single separable primary repo + dated delivery,https://github.com/swush-labs/swush-app,,2025-05-14,2,swush-labs/swush-app;galacticcouncil/hydration-node,,7.50
SydTek,INCLUDED,single separable primary repo + dated delivery,https://github.com/jgophd/Developed-Materials-and-Raw-Data,,2023-08-31,3,jgophd/Developed-Materials-and-Raw-Data,,20.00
t3rn-xbi,INCLUDED,single separable primary repo + dated delivery,https://github.com/t3rn/xbi,,2022-09-19,1,t3rn/xbi,w3f/PSPs,
tcdt,INCLUDED,single separable primary repo + dated delivery,https://github.com/tcdt-lab/bcdns,,2025-06-25,4,tcdt-lab/bcdns,,
tdot,INCLUDED,single separable primary repo + dated delivery,https://github.com/nutsfinance/stable-asset,,2022-10-19,3,nutsfinance/stable-asset;nutsfinance/bifrost,w3f/General-Grants-Program;AcalaNetwork/Acala,
tellor,INCLUDED,single separable primary repo + dated delivery,https://github.com/tellor-io/tellor-parachain-contracts,7f8cf44f526d0c42fd35074024f2daa40c637579,2023-05-02,1,tellor-io/tellor-parachain-contracts,,8.00
Threshold_Signature,INCLUDED,single separable primary repo + dated delivery,https://github.com/Fiono11/cli,,2024-12-16,2,Fiono11/cli,w3f/schnorrkel,1.00
TogetherCrew_Community_health_check,INCLUDED,single separable primary repo + dated delivery,https://github.com/RnDAO/tc-Documentation,,2024-02-13,2,RnDAO/tc-Documentation;TogetherCrew/twitter-bot;RnDAO/tc-botComm;RnDAO/tc-dbComm;RnDAO/tc-serverComm,,
tokeneconomics-survey,INCLUDED,single separable primary repo + dated delivery,https://github.com/taqtiqa-mark/tokenomics-survey-2022,,2023-09-08,3,taqtiqa-mark/tokenomics-survey-2022,,
Tokenguard - Milestone 1 & 2,INCLUDED,single separable primary repo + dated delivery,https://github.com/tokenguardio/dashboard-creator-client,,2024-06-10,1,tokenguardio/dashboard-creator-client;tokenguardio/dashboard-creator-server,,3.00
tpscore,INCLUDED,single separable primary repo + dated delivery,https://github.com/BCS-Labs/tpscore-etl-system,,2023-09-26,2,BCS-Labs/tpscore-etl-system;BCS-Labs/tpscore-web-client,,4.00
tracking_chain,INCLUDED,single separable primary repo + dated delivery,https://github.com/TrackingChains/TrackingChain,,2023-11-15,4,TrackingChains/TrackingChain;TrackingChains/InkTrackingChain;TrackingChains/EVMTrackingChain,,6.50
TreasuryTracker,INCLUDED,single separable primary repo + dated delivery,https://github.com/stake-plus/treasury-tracker,,2023-10-10,1,stake-plus/treasury-tracker;stake-plus/polkadotjs-proxy,,1.25
TREX_Network,INCLUDED,single separable primary repo + dated delivery,https://github.com/NexTokenTech/TREX,,2023-02-01,1,NexTokenTech/TREX;NexTokenTech/trex-keyholder;NexTokenTech/trex-doc-md;NexTokenTech/trex-account-funds,,
tribal_protocol,INCLUDED,single separable primary repo + dated delivery,https://github.com/tribal-protocol/tribal_contract,,2022-08-08,1,tribal-protocol/tribal_contract;tribal-protocol/substrate-poc-client,,12.00
