project_id,repo_url,application_url,n_delivery_files,planned_fte,planned_duration_months,planned_cost_usd,planned_pm,team_size,sum_milestone_duration_months,n_milestone_fte_mentions,documented_pm_explicit,effort_phrases_raw,status,note
psc,https://github.com/OmniBTC/PSC,github.com/w3f/Grants-Program/blob/master/applications/index.md,1,,,,,,,0,,,OK,
qrucial_dao,https://github.com/Qrucial/QRUCIAL-DAO,github.com/w3f/Grants-Program/blob/master/applications/QRUCIAL_DAO.md,2,0.7,4,40000,2.80,3,8.0,2,,4 month; 2 month; 2 month,OK,
QSTN,https://github.com/QSTN-US/Polkadot-QSTN-v1,github.com/w3f/Grants-Program/blob/master/applications/QSTN.md,1,8,15,10000,120.00,2,35.0,2,,15 month; 15 month; 6 month; 2.5 month; 2.5 month,OK,
quadratic-funding,https://github.com/OAK-Foundation/quadratic-funding-pallet,github.com/w3f/Grants-Program/blob/master/docs/RFPs/on-chain-quadratic-funding.md,2,,,,,,,0,,,OK,
quadratic-funding-pallet,https://github.com/zhangjiannan/QFgrant,github.com/w3f/Grants-Program/blob/master/docs/RFPs/on-chain-quadratic-funding.md,3,,,,,,,0,,,OK,
queryWeb3,https://github.com/Query-Web3/database,github.com/w3f/Grants-Program/blob/master/applications/queryWeb3.md,1,60,4.5,30000,270.00,3,8.0,3,,4.5 month; 1.5 month; 1 month; 1 month,OK,
RainbowDAO-Protocol-ink!-Phase1,https://github.com/RainbowcityFoundation/RainbowDAO-Protocol-Ink-milestone_1,github.com/w3f/Grants-Program/blob/master/applications/RainbowDAO Protocol ink Phase 1.md,2,8,,48000,,11,3.68,2,,6 month; 3 month; 8 week; 3 week; 5 week,OK,
rb_substrate_client,https://github.com/uni-arts-chain/sr25519,github.com/w3f/Grants-Program/blob/master/applications/rb_substrate_client.md,1,2,,8000,,2,1.84,2,,4 week; 2 week; 2 week,OK,
RedStone,https://github.com/redstone-network/redstone-node,github.com/w3f/Grants-Program/blob/master/applications/RedStone Network.md,1,2,3,20000,6.00,4,6.0,2,,3 month; 1 month; 2 month,OK,
regionx,https://github.com/RegionX-Labs/RegionX,github.com/w3f/Grants-Program/blob/master/applications/RegionX.md,2,,4,30000,,2,6.5,3,,4 month; 1 month; 1.5 month,OK,
relaycode,https://github.com/itsyogesh/relaycode,github.com/w3f/Grants-Program/blob/master/applications/relaycode.md,2,2,2,30000,4.00,2,4.0,2,,2 month; 1 month; 1 month,OK,
research-feasibility-go-runtime,https://github.com/limechain/gosemble,github.com/w3f/Grants-Program/blob/master/applications/Polkadot-Protocol-Conformance-Tests.md,1,2,,49280,,3,,1,,,OK,
research-feasibiliy-java-host,https://github.com/LimeChain/java-host-research,github.com/w3f/Grants-Program/blob/master/docs/RFPs/alternative_polkadot_host_implementations.md,1,,,,,,,0,,,OK,
roloi,https://github.com/RoloiMoney/roloi-polkadot-w3f-grant,github.com/w3f/Grants-Program/blob/master/applications/Roloi.md,1,2,1,20000,2.00,3,2.0,1,,2 month; 1 month; 1 month,OK,
roloi-xcm-payment-automation,https://github.com/NeoPower-Digital/tempora,github.com/w3f/Grants-Program/blob/master/applications/roloi-xcm-payment-automation.md,2,3,2.5,52500,7.50,3,5.0,2,,2.5 month; 1.5 month; 1 month,OK,
Rubeus_keeper,https://github.com/bsn-si/rubeus-smartcontract,github.com/w3f/Grants-Program/blob/master/applications/Rubeus_keeper_st2.md,2,2,2,25000,4.00,7,4.0,2,,2 month; 1 month; 1 month,OK,
Rubeus_keeper_st2,https://github.com/bsn-si/rubeus-smartcontract,github.com/w3f/Grants-Program/blob/master/applications/Rubeus_keeper_st2.md,2,2,2,25000,4.00,7,4.0,2,,2 month; 1 month; 1 month,OK,
ruby,https://github.com/rubyprotocol/documents,github.com/w3f/Grants-Program/blob/master/applications/RubyProtocol.md,2,3,2,30000,6.00,4,8.0,2,,2 month; 5 month; 1 month,OK,
rv_kmir,https://github.com/runtimeverification/mir-semantics,github.com/w3f/Grants-Program/blob/master/applications/rv-kmir.md,4,1.5,,100000,,2,3.22,4,,14 week; 3 week; 3 week; 6 week; 8 week; 2 week,OK,
SaaS3,https://github.com/SaaS3-Foundation/dRuntime-fat,github.com/w3f/Grants-Program/blob/master/applications/SaaS3.md,2,2,3,10000,6.00,5,6.0,2,,3 month; 1 month; 2 month,OK,
saito-gamebridge,https://github.com/SaitoTech/saito-crypto-api-modules,,2,,,,,,,0,,,OK,
sandox_ms3_delivery,https://github.com/sandoxio/sandox,github.com/w3f/Grants-Program/blob/master/docs/RFPs/IDE_for_ink_Smart_Contracts.md,1,,,,,,,0,,,OK,
Sandox_st1_ms1_delivery,https://github.com/sandoxio/sandox,github.com/w3f/Grants-Program/blob/master/docs/RFPs/IDE_for_ink_Smart_Contracts.md,1,,,,,,,0,,,OK,
Sandox_st1_ms2_delivery,https://github.com/sandoxio/sandox,github.com/w3f/Grants-Program/blob/master/docs/RFPs/IDE_for_ink_Smart_Contracts.md,1,,,,,,,0,,,OK,
sarp-basic-functionality,https://github.com/scs/MIRAI,github.com/w3f/Grants-Program/blob/master/applications/pallet-verifier.md,1,1,,30000,,1,,2,,4 month; 8 week; 8 week,OK,
scale-codec-comparator,https://github.com/gmajor-encrypt/scale-codec-comparator,github.com/w3f/Grants-Program/blob/master/applications/xcm-tools-follow-up-2.md,3,1,,5000,,1,1.38,1,,3 Week; 3 week,OK,
ScoutCoinFabrik,https://github.com/CoinFabrik/scout,github.com/w3f/Grants-Program/blob/master/applications/CoinFabrik_On_Ink_Integration_Tests.md,2,2.5,,13500,,4,0.92,1,,2 week; 2 week,OK,
Security_Marketplace,https://github.com/ParthChaudhary31/Security_Marketplace_Backend,github.com/w3f/Grants-Program/blob/master/applications/Security_Marketplace.md,1,4,,29920,,7,,2,,12 hour; 1 week; 1 day; 14 week; 8 week; 6 week,OK,
sensio_network,,,1,,,,,,,,,,NO_REPO,
SEOR-code-less-smart-contract-platform,https://github.com/SealSC/smart-contracts,github.com/w3f/Grants-Program/blob/master/applications/SEOR-code-less-smart-contract-platform.md,2,3,,12500,,3,3.0,3,,95 day; 1 month; 1 month; 1 month,OK,
sequester,https://github.com/SequesterChain/pallets,github.com/w3f/Grants-Program/blob/master/applications/sequester.md,1,,,25000,,2,2.3,0,,5 week; 5 week,OK,
shadows-network,https://github.com/ShadowsNetwork/shadows,github.com/w3f/Grants-Program/blob/master/applications/shadows-network.md,1,5,3,1,15.00,6,6.0,2,,3 month; 1.6 month; 1.4 month,OK,
Shivarthu,https://github.com/amiyatulu/shivarthu,github.com/w3f/Grants-Program/blob/master/applications/Shivarthu.md,2,2,8,20000,16.00,3,16.0,2,,15 day; 15 day; 8 Month; 4 month; 4 month,OK,
signac,https://github.com/digitalnativeinc/signac,github.com/w3f/Grants-Program/blob/master/applications/signac.md,2,1,,30000,,1,3.22,2,,4 week; 10 week,OK,
signet,https://github.com/TalismanSociety/siws,github.com/w3f/Grants-Program/blob/master/applications/signet.md,1,1,1,26400,1.00,2,1.0,2,,1 month; 5 month; 5 month,OK,
silent_data,https://github.com/appliedblockchain/silentdata-node-public,github.com/w3f/Grants-Program/blob/master/applications/project_silentdata.md,1,,,,,2,,0,,2 month,OK,
sirato-substrate-explorer-phase3,https://github.com/web3labs/epirus-substrate,github.com/w3f/Grants-Program/blob/master/applications/hybrid.md,1,1,,10000,,1,5.52,3,,12 week; 6 week; 3 week; 3 week,OK,
skyekiwi-protocol,https://github.com/skyekiwi/skyekiwi-protocol,github.com/w3f/Grants-Program/blob/master/applications/skyekiwi-protocol.md,2,2,4,30000,8.00,,8.0,2,,4 month; 16 week; 2 month; 2 month,OK,
skyepass,https://github.com/skyekiwi/skyepass-vault,github.com/w3f/Grants-Program/blob/master/applications/skyepass.md,1,2.5,,28500,,3,6.67,2,,16 week; 3 Week; 35 Hour; 3 Week; 50 hour; 10 Week; 12 month,OK,
skynet-substrate-integration,https://github.com/SkynetLabs/skynet-substrate,github.com/w3f/Grants-Program/blob/master/applications/skynet-substrate-integration.md,1,0.1875,8,30000,1.50,11,16.0,1,,8 Month; 8 month,OK,
slonigiraf,https://github.com/slonigiraf/recommendation-letter,github.com/w3f/Grants-Program/blob/master/applications/slonigiraf.md,1,1,1,10000,1.00,1,2.0,1,,1 month; 1 month,OK,
slothunter,https://github.com/hack-ink/slothunter,github.com/w3f/Grants-Program/blob/master/applications/polkadot-runtime-releaser.md,2,1,,22500,,1,3.68,1,,8 week; 8 week,OK,
social_recivery_wallet,https://github.com/hypha-dao/hashed-wallet,github.com/w3f/Grants-Program/blob/master/docs/RFPs/social-recovery-wallet.md,3,,,,,,2.99,3,,4 week; 5 week; 4 week,OK,
societal,https://github.com/sctllabs/societal-front-end,github.com/w3f/Grants-Program/blob/master/applications/Societal.md,2,3,4,30000,12.00,3,8.0,2,,4 month; 2 month; 2 month,OK,
societal-grant,https://github.com/sctllabs/societal-grant-2-submission,github.com/w3f/Grants-Program/blob/master/applications/Societal.md,5,3,4,30000,12.00,3,8.0,2,,4 month; 2 month; 2 month,OK,
sol2ink,https://github.com/727-Ventures/sol2ink,github.com/w3f/Grants-Program/blob/master/applications/sol2ink.md,1,1,,36000,,5,6.44,1,,20 week; 8 week,OK,
sol2ink-delivery,https://github.com/Supercolony-net/sol2ink,github.com/w3f/Grants-Program/blob/master/applications/sol2ink-follow-up.md,1,2,,60000,,5,6.44,2,,10 week; 8 week; 10 week,OK,
Solang-developer-experience-improvements,https://github.com/hyperledger/solang,github.com/w3f/Grants-Program/blob/master/applications/ink-pallet-benchmarking-phase-2.md,2,1,,6000,,4,2.3,1,,2 day; 2 day; 1 day; 2 day; 3 day; 3 day; 3 day; 3 day; 1 day; 1 day; 1 day; 1 day,OK,
Solang_Playground,https://github.com/hyperledger-labs/solang-playground,github.com/w3f/Grants-Program/blob/master/applications/Solang_Playground.md,4,,13,25000,,8,26.0,4,,13 month; 4 month; 5 month; 3 month; 3 month; 2 month,OK,
solidity-trie-verifier,https://github.com/polytope-labs/solidity-merkle-trees,github.com/w3f/Grants-Program/blob/master/applications/solidity-trie-verifier.md,1,2.5,,30000,,2,2.76,1,,6 Week; 6 Week,OK,
solidity-verifier-for-accountable-light-client,https://github.com/ethereum/EIPs,github.com/w3f/Grants-Program/blob/master/applications/NFT_Bridge_Protocol_for_NFT_Migration_and_Data_Exchange.md,2,2,,,,2,,4,,7 week; 66 day; 2 week; 21 day; 2 week; 20 day; 1 week; 10 day; 1 week; 15 day,OK,
spacewalk,https://github.com/pendulum-chain/spacewalk,github.com/w3f/Grants-Program/blob/master/applications/spacewalk-bridge.md,2,0.5,3,30000,1.50,3,8.5,3,,3 Month; 1 month; 2 month; 2.5 month,OK,
spartan_poc_consensus_module,https://github.com/subspace/spartan-codec,github.com/w3f/Grants-Program/blob/master/applications/spartan_poc_consensus_module.md,3,2,,29999,,2,5.52,3,,36 hour; 18 month; 12 week; 4 week; 4 week; 4 Week,OK,
SpellRouter_Milestone,https://github.com/paraspell/xcm-router,,2,,,,,,,0,,,OK,
sr25519_donna,https://github.com/TerenceGe/sr25519-donna,github.com/w3f/Grants-Program/blob/master/applications/sr25519_donna.md,2,,,0,,,1.84,0,,4 week; 2 week; 2 week,OK,
ssal,https://github.com/MatteoPerona/ssal_commods,github.com/w3f/Grants-Program/blob/master/applications/ssal-commods-dex.md,1,2.5,2,10000,5.00,15,4.0,1,,2 Month; 2 month,OK,
stable-asset,https://github.com/nutsfinance/stable-asset,github.com/w3f/Grants-Program/blob/master/applications/stable-asset.md,3,2,1,20000,2.00,2,2.15,3,,1 month; 1.5 week; 1.5 week; 2 week,OK,
staking-rewards-viewer,https://github.com/jackson-harris-iii/staking-rewards-viewer,github.com/w3f/Grants-Program/blob/master/applications/staking-rewards-collector-front-end.md,1,,,,,1,,1,,12 day,OK,
Standard_Protocol,https://github.com/digitalnativeinc/standard-substrate,github.com/w3f/Grants-Program/blob/master/applications/new-order.md,1,1,,15000,,1,2.3,1,,10 week,OK,
Stardust,https://github.com/adit313/State-of-the-Stablecoin-Industry,github.com/w3f/Grants-Program/blob/master/applications/stardust.md,2,2,,10,,2,2.3,2,,5 month; 8 hour; 5 Week; 2 Week; 3 Week,OK,
starks_network,https://github.com/gbctech/starks-node,github.com/w3f/Grants-Program/blob/master/applications/starks_network.md,1,3,1,1,3.00,5,2.0,1,,1 month; 1 month,OK,
Starry_Network,https://github.com/Starry-Network/starry_node,github.com/w3f/Grants-Program/blob/master/applications/Starry_Network.md,1,1,2.5,10000,2.50,1,5.0,1,,2.5 month; 2.5 month,OK,
stone-index-on-substrate,https://github.com/stonedefi/stone-index-substrate-ui,github.com/w3f/Grants-Program/blob/master/applications/stone-index-on-substrate.md,1,3,,0,,4,0.69,0,,3 week,OK,
storageHub,https://github.com/Moonsong-Labs/storage-hub-runtime-poc,github.com/w3f/Grants-Program/blob/master/applications/StorageHub.md,2,,,,,6,,0,,2 Month; 1 Month; 1 Month; 1 Month; 1 month,OK,
Stylograph,https://github.com/deep-ink-ventures/genesis-dao-node,github.com/w3f/Grants-Program/blob/master/applications/Stylograph.md,1,3,,100000,,,5.0,2,,5 month; 3 month; 2 month,OK,
subalfred,https://github.com/hack-ink/subalfred,github.com/w3f/Grants-Program/blob/master/applications/subalfred.md,3,1,,30000,,1,3.68,3,,8 week; 5 week; 2 week; 1 week,OK,
subauction,https://github.com/galacticcouncil/Basilisk-node,github.com/w3f/Grants-Program/blob/master/applications/subauction.md,2,2,,,,2,,2,,3 month; 5 week; 3 week,OK,
subcoin,https://github.com/subcoin-project/subcoin,github.com/w3f/Grants-Program/blob/master/applications/Subcoin.md,3,1,3,30000,3.00,1,6.0,3,,3 month; 1 month; 1 month; 1 month,OK,
subdao-network,https://github.com/SubDAO-Network/subdao-node,github.com/w3f/Grants-Program/blob/master/applications/SubDAO_Network.md,1,4,2,0,8.00,5,4.0,0,,2 month; 2 month,OK,
subdao-network_chrome_extension,https://github.com/SubDAO-Network/subdao-extension,github.com/w3f/Grants-Program/blob/master/applications/SubDAO_Network.md,1,4,2,0,8.00,5,4.0,0,,2 month; 2 month,OK,
subdao-network_polkasign,https://github.com/SubDAO-Network/polkasign-contract,github.com/w3f/Grants-Program/blob/master/applications/SubDAO_Network.md,1,4,2,0,8.00,5,4.0,0,,2 month; 2 month,OK,
subdex,https://github.com/subdarkdex/pallet-subdex,github.com/w3f/Grants-Program/blob/master/applications/subdex.md,1,2,,2,,,1.84,0,,8 week,OK,
SubGame_Network,https://github.com/SubGame-Network/subgame-network,github.com/w3f/Grants-Program/blob/master/applications/SubGame_Network.md,2,3,,0,,3,5.52,0,,12 week; 12 week,OK,
SubIdentity,https://github.com/TDSoftware/subidentity-webapp,github.com/w3f/Grants-Program/blob/master/applications/SubIdentity.md,3,3,3,49500,9.00,5,6.0,3,,3 month; 1 month; 1 month; 1 month,OK,
subquery,https://github.com/OnFinality-io/subql,github.com/w3f/Grants-Program/blob/master/applications/subquery.md,1,2,1.5,1,3.00,3,2.96,2,,1.5 month; 1 month; 2 week,OK,
SubRelay,https://github.com/subrelay/subrelay-api,github.com/w3f/Grants-Program/blob/master/applications/subrelay.md,2,1.5,5,30000,7.50,3,7.5,2,,5 month; 2.5 month; 5 month,OK,
subscript_lang,https://github.com/ascontract/subscript,github.com/w3f/Grants-Program/blob/master/applications/subscript_lang.md,1,2,2,2,4.00,2,4.0,1,,2 month; 2 month,OK,
SubsCrypt,https://github.com/oxydev/SubsCrypt-solidty,github.com/w3f/Grants-Program/blob/master/applications/SubsCrypt.md,3,5,,30,,2,5.29,3,,9 week; 3 week; 5 week; 6 week,OK,
subsmt,https://github.com/farcloud-labs/subsmt,github.com/w3f/Grants-Program/blob/master/applications/subsmt.md,2,3,2,10000,6.00,2,4.0,2,,2 month; 1 month; 1 month,OK,
Substats,https://github.com/CESSProject/substats,github.com/w3f/Grants-Program/blob/master/applications/substats.md,3,2,5,,10.00,5,10.0,3,,5 month; 2 month; 2 month; 1 month,OK,
substrate_client_java,https://github.com/strategyobject/substrate-client-java,github.com/w3f/Grants-Program/blob/master/applications/Deitos_Network.md,2,3,,30,,4,5.52,2,,12 week; 3 month; 6 week; 6 week,OK,
substrate_core_polywrapper,https://github.com/polywrap/integrations,github.com/w3f/Grants-Program/blob/master/applications/substrate_core_polywrapper.md,1,2,1,50000,2.00,4,2.0,1,,1 month; 1 month,OK,
substrate_evm_adapter,https://github.com/subclone/subeth,github.com/w3f/Grants-Program/blob/master/applications/substrate-evm-adapter.md,2,1,,30000,,1,6.9,2,,15 week; 6 week; 9 week,OK,
substrate-molochdao,https://github.com/DoraFactory/Substrate-Moloch-V1,,2,,,,,,,0,,,OK,
Substrate_Move_System_Pallet,https://github.com/eigerco/substrate-move,github.com/w3f/Grants-Program/blob/master/applications/Substrate_Move_System_Pallet_1.md,2,2,1,48,2.00,2,1.0,0,,1 month,OK,
substrate_startkit_GUI,https://github.com/MVPWorkshop/substrate-startkit-gui-api,github.com/w3f/Grants-Program/blob/master/applications/pallet_maci.md,2,,,,,2,,0,,4 month; 2 month; 1 month; 1 month,OK,
substrate-tutorials,https://github.com/rusty-crewmates/substrate-tutorials,github.com/w3f/Grants-Program/blob/master/applications/pallet_supersig.md,2,2,,,,2,,3,,1 month; 7 week; 4 week; 4 week; 3 week,OK,
subvt_telegram_bot-milestones-1-and,https://github.com/helikon-labs/subvt,github.com/w3f/Grants-Program/blob/master/applications/subvt-telegram-bot.md,1,0.33,3,9600,0.99,1,6.0,2,,8 month; 9 month; 3 month; 1.5 month; 1.5 month,OK,
subwallet,https://github.com/yxf/subwallet,github.com/w3f/Grants-Program/blob/master/applications/subwallet.md,2,,,0,,,3.68,0,,8 week; 4 week; 4 week,OK,
subxtpy,https://github.com/philoniare/subxtpy,github.com/w3f/Grants-Program/blob/master/applications/bison.md,2,2,3,30000,6.00,2,6.0,3,,3 month; 1 month; 1.5 month; 0.5 month,OK,
sunshine-keybase,https://github.com/sunshine-protocol/sunshine-keybase,github.com/w3f/Grants-Program/blob/master/applications/sunshine-keybase.md,1,,,,,3,1.38,1,,6 week,OK,
sup,,,2,,,,,,,,,,NO_REPO,
supersig_fellowship,https://github.com/decentration/pallet_supersig,github.com/w3f/Grants-Program/blob/master/applications/supersig_fellowship.md,2,2,,,,2,,2,,1 month; 11 week; 5 week; 6 week,OK,
SwarmNL,https://github.com/algorealmInc/SwarmNL,github.com/w3f/Grants-Program/blob/master/applications/swarm-nl.md,2,1,3,48000,3.00,2,7.0,2,,3 month; 1.5 month; 2.5 month; 10 week; 2 week; 1 week; 1 week; 3 week; 1 week; 2 week; 2 week; 1 week,OK,
swift_api,https://github.com/tesseract-one/Substrate.swift,github.com/w3f/Grants-Program/blob/master/applications/mobile_dapp_connection.md,2,,,,,2,,0,,8 week; 6 week; 6 week,OK,
swush-dex-aggregator,https://github.com/swush-labs/swush-app,github.com/w3f/Grants-Program/blob/master/applications/swush-dex-aggregator.md,2,1.5,5,25000,7.50,2,5.0,2,,5 month; 2.5 month; 2.5 month,OK,
SydTek,https://github.com/jgophd/Developed-Materials-and-Raw-Data,github.com/w3f/Grants-Program/blob/master/applications/index.md,3,,,,,,,0,,,OK,
t3rn-xbi,https://github.com/t3rn/xbi,github.com/w3f/General-Grants-Program/blob/master/grants/speculative/t3rn.md,1,,,,,1,,0,,2 Week; 6 week; 4 Week; 4 Week,OK,
tcdt,https://github.com/tcdt-lab/bcdns,,4,,,,,,,0,,,OK,
tdot,https://github.com/nutsfinance/stable-asset,github.com/w3f/Grants-Program/blob/master/applications/tdot.md,3,2,,14000,,3,2.07,3,,4 week; 1 week; 2 week; 2 week,OK,
tellor,https://github.com/tellor-io/tellor-parachain-contracts,github.com/w3f/Grants-Program/blob/master/applications/Tellor.md,1,2,4,40000,8.00,4,8.0,2,,4 month; 2 month; 2 month,OK,
Threshold_Signature,https://github.com/Fiono11/cli,github.com/w3f/Grants-Program/blob/master/applications/ThresholdSignature.md,2,1,1,15000,1.00,1,2.0,2,,1 month; 0.5 month; 0.5 month,OK,
TogetherCrew_Community_health_check,https://github.com/RnDAO/tc-Documentation,github.com/w3f/Grants-Program/blob/master/applications/community-health-check.md,2,6,,15,,9,6.67,4,,10 week; 4 week; 6 week; 3 week; 6 week,OK,
tokeneconomics-survey,https://github.com/taqtiqa-mark/tokenomics-survey-2022,,3,,,,,,,0,,,OK,
Tokenguard - Milestone 1 & 2,https://github.com/tokenguardio/dashboard-creator-client,github.com/w3f/Grants-Program/blob/master/applications/Tokenguard.md,1,1.5,2,30000,3.00,8,4.46,2,,2 month; 2 month; 2 week,OK,
tpscore,https://github.com/BCS-Labs/tpscore-etl-system,github.com/w3f/Grants-Program/blob/master/applications/TPScore.md,2,2,2,10000,4.00,2,4.0,2,,2 month; 1 month; 1 month,OK,
tracking_chain,https://github.com/TrackingChains/TrackingChain,github.com/w3f/Grants-Program/blob/master/applications/tracking_chain.md,4,1,6.5,16,6.50,1,12.69,4,,6.5 month; 3 month; 1 month; 1.5 month; 3 week,OK,
TreasuryTracker,https://github.com/stake-plus/treasury-tracker,github.com/w3f/Grants-Program/blob/master/applications/TreasuryTracker.md,1,1.25,1,10000,1.25,3,1.0,0,,1 month,OK,
TREX_Network,https://github.com/NexTokenTech/TREX,github.com/w3f/Grants-Program/blob/master/applications/TREX_Network.md,1,,,10000,,6,2.0,1,,2 month,OK,
tribal_protocol,https://github.com/tribal-protocol/tribal_contract,github.com/w3f/Grants-Program/blob/master/applications/tribal_protocol.md,1,3,4,40000,12.00,3,4.0,3,,4 Month; 45 Day; 45 Day; 30 Day,OK,
tuxedo,https://github.com/Off-Narrative-Labs/Tuxedo,github.com/w3f/Grants-Program/blob/master/applications/TuxedoDapp.md,3,2,3,24000,6.00,2,6.0,1,,3 month; 1 month; 2 month,OK,
TuxedoDApp,https://github.com/mlabs-haskell/TuxedoDapp,github.com/w3f/Grants-Program/blob/master/applications/TuxedoDapp.md,2,2,3,24000,6.00,2,6.0,1,,3 month; 1 month; 2 month,OK,
tuxedo-parachain,https://github.com/Off-Narrative-Labs/Tuxedo,github.com/w3f/Grants-Program/blob/master/applications/TuxedoDapp.md,2,2,3,24000,6.00,2,6.0,1,,3 month; 1 month; 2 month,OK,
typechain-polkadot,https://github.com/Supercolony-net/typechain-polkadot,github.com/w3f/Grants-Program/blob/master/applications/typechain-polkadot.md,2,2,,44800,,5,6.9,3,,8 week; 8 week; 8 week; 6 week,OK,
typechain-polkadot-follow-up,https://github.com/727-Ventures/typechain-polkadot,github.com/w3f/Grants-Program/blob/master/applications/typechain-polkadot-follow-up.md,1,,,,,5,3.57,2,,8 week; 7.5 week; 12 week,OK,
typechain_revived,https://github.com/C-Forge/typechain-polkadot,github.com/w3f/Grants-Program/blob/master/applications/typechain_revived.md,2,3,,30000,,3,,2,,25 month; 75 month; 5 month,OK,
typink,https://github.com/dedotdev/typink,github.com/w3f/Grants-Program/blob/master/applications/typink.md,2,1.5,3,30,4.50,2,5.5,2,,3 month; 1.5 month; 1 month,OK,
uke_protocol,https://github.com/Uke-Messaging/uke,github.com/w3f/Grants-Program/blob/master/applications/Diffy_chat.md,2,3,3,30000,9.00,6,3.0,2,,3 month; 5 month; 5 month,OK,
unified_collator_node_deployment,https://github.com/for-parity-with-love/unified-collator-node-deployment,github.com/w3f/Grants-Program/blob/master/applications/unified_collator_node_deployment.md,1,,2.5,24500,,2,5.0,0,,2.5 month; 2.5 month,OK,
universaldot-me,https://github.com/UniversalDot/pallets,github.com/w3f/Grants-Program/blob/master/applications/universaldot-me.md,2,2.5,4,35000,10.00,3,8.0,2,,4 month; 2 month; 2 month,OK,
upgradeability,https://github.com/trustfractal/ink-upgrade-template,github.com/w3f/Grants-Program/blob/master/applications/upgradeability-by-proxy.md,1,,,,,2,2.0,2,,1 month; 1 month,OK,
validated_streams,https://github.com/comrade-coop/validated-streams,github.com/w3f/Grants-Program/blob/master/applications/validated-streams.md,2,1,3,10000,3.00,3,6.0,2,,3 month; 1.5 month; 1.5 month,OK,
Validator_Monitoring_Service,https://github.com/p2p-org/polkadot_monitoring_service,github.com/w3f/Grants-Program/blob/master/applications/Validator_Monitoring_Service.md,2,1.5,2,29000,3.00,4,4.0,2,,2 month; 1 month; 1 month,OK,
validators_selection,https://github.com/miepsik/validators_selection,github.com/w3f/Grants-Program/blob/master/applications/validators_selection.md,1,1,,9000,,1,1.38,2,,30 day; 4 week; 20 day; 2 week; 10 day,OK,
validators_selection1,https://github.com/miepsik/validators_selection,github.com/w3f/Grants-Program/blob/master/applications/validators_selection.md,1,1,,9000,,1,1.38,2,,30 day; 4 week; 20 day; 2 week; 10 day,OK,
ventur,https://github.com/Popular-Coding/ventur,github.com/w3f/Grants-Program/blob/master/applications/ventur.md,2,4,2,30000,8.00,2,4.0,2,,2 month; 1 month; 1 month,OK,
vera_defi_phase,https://github.com/veradefi/defi,github.com/w3f/Grants-Program/blob/master/applications/vera_defi.md,1,1.5,,6000,,2,3.68,1,,8 week; 8 week,OK,
walt-id_nft-infra,https://github.com/walt-id/waltid-nftkit,github.com/w3f/Grants-Program/blob/master/applications/walt-id_nft-infra.md,1,,,,,9,,1,,4 month,OK,
wasmedge_substrate,https://github.com/WasmEdge/WasmEdge,github.com/w3f/Grants-Program/blob/master/applications/wasmedge_substrate.md,2,,,,,2,,0,,3 month; 1 month; 1 month; 6 month,OK,
wasm-opt-for-rust,https://github.com/brson/wasm-opt-rs,github.com/w3f/Grants-Program/blob/master/applications/wasm-opt-for-rust.md,2,0.4,,30000,,2,,2,,4 month; 2 month; 2 month,OK,
wasm_runtimes_fuzzing,https://github.com/pventuzelo/wasm_runtimes_fuzzing,github.com/w3f/Grants-Program/blob/master/applications/wasm_runtimes_fuzzing.md,4,,3,4,,,5.76,0,,3 month; 2 week; 4 week; 4 week; 2 week,OK,
Web3Box,https://github.com/web3box-labs/apps,github.com/w3f/Grants-Program/blob/master/applications/Web3Box.md,1,2,,10000,,3,2.76,1,,6 week; 6 week,OK,
web3-compatible-api,https://github.com/PureStake/moonbeam,github.com/w3f/Grants-Program/blob/master/applications/web3-compatible-api.md,1,2,,2,,,1.38,0,,6 week,OK,
Web3Go,https://github.com/web3go-xyz/web3go-xyz-v2,github.com/w3f/Grants-Program/blob/master/applications/Web3Go.md,2,2,3,40000,6.00,5,13.0,2,,3 month; 2 month; 8 month,OK,
webb_extended_mixer,https://github.com/webb-tools/webb-dapp,,1,,,,,,,0,,,OK,
Webb_Mixer,https://github.com/webb-tools/anon,github.com/w3f/Grants-Program/blob/master/applications/MIXERv2.md,1,5,4,100000,20.00,,7.0,2,,4 month; 2 month; 1 month,OK,
Webb_Mixer_Extended,https://github.com/webb-tools/anon,github.com/w3f/Grants-Program/blob/master/applications/MIXERv2.md,1,5,4,100000,20.00,,7.0,2,,4 month; 2 month; 1 month,OK,
WeTEE,https://github.com/wetee-dao/chain,github.com/w3f/Grants-Program/blob/master/applications/WeTEE_Network.md,3,2,3.5,21000,7.00,4,7.0,3,,3.5 month; 1 month; 1 month; 1.5 month,OK,
whiteflag-on-fennel-protocol,https://github.com/fennelLabs/Fennel-Protocol,github.com/w3f/Grants-Program/blob/master/applications/Fennel_Protocol.md,2,3,3,50000,9.00,6,6.0,3,,3 month; 1 month; 1 month; 1 month,OK,
wika_network,https://github.com/randombishop/wika_etl,github.com/w3f/Grants-Program/blob/master/applications/wika_network.md,2,1,3,15000,3.00,6,8.0,3,,3 Month; 1 month; 1 month; 3 month,OK,
Xcavate,https://github.com/XcavateBlockchain/MVP_Lending_Pool,github.com/w3f/Grants-Program/blob/master/applications/Xcavate.md,1,4,2,8500,8.00,8,4.0,1,,2 month; 2 month,OK,
